Model N les_runs dataname dataname2
EC-Earth3-AerChem 2 1,4 processed_tos_Omon_EC-Earth3-AerChem_historical_r%si1p1f1_gn_195001-200512.nc processed_tos_Omon_EC-Earth3-AerChem_historical_r%si1p1f1_gn_197501-201412.nc
MRI-ESM2-0 10 1,2,3,4,5,6,7,8,9,10 processed_tos_Omon_MRI-ESM2-0_historical_r%si1p1f1_gr_195001-200512.nc processed_tos_Omon_MRI-ESM2-0_historical_r%si1p1f1_gr_197501-201412.nc
BCC-ESM1 3 1,2,3 processed_tos_Omon_BCC-ESM1_historical_r%si1p1f1_gn_195001-200512.nc processed_tos_Omon_BCC-ESM1_historical_r%si1p1f1_gn_197501-201412.nc
BCC-CSM2-MR 3 1,2,3 processed_tos_Omon_BCC-CSM2-MR_historical_r%si1p1f1_gn_195001-200512.nc processed_tos_Omon_BCC-CSM2-MR_historical_r%si1p1f1_gn_197501-201412.nc
ACCESS-ESM1-5 15 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15 processed_tos_Omon_ACCESS-ESM1-5_historical_r%si1p1f1_gn_195001-200512.nc processed_tos_Omon_ACCESS-ESM1-5_historical_r%si1p1f1_gn_197501-201412.nc
E3SM-1-0 5 1,2,3,4,5 processed_tos_Omon_E3SM-1-0_historical_r%si1p1f1_gr_195001-200512.nc processed_tos_Omon_E3SM-1-0_historical_r%si1p1f1_gr_197501-201412.nc
SAM0-UNICON 1 1 processed_tos_Omon_SAM0-UNICON_historical_r%si1p1f1_gn_195001-200512.nc processed_tos_Omon_SAM0-UNICON_historical_r%si1p1f1_gn_197501-201412.nc
FGOALS-f3-L3 1,2,3 processed_tos_Omon_FGOALS-f3-L_historical_r%si1p1f1_gn_195001-200512.nc processed_tos_Omon_FGOALS-f3-L_historical_r%si1p1f1_gn_197501-201412.nc
CAMS-CSM1-0 2 1,2 processed_tos_Omon_CAMS-CSM1-0_historical_r%si1p1f1_gn_195001-200512.nc processed_tos_Omon_CAMS-CSM1-0_historical_r%si1p1f1_gn_197501-201412.nc
CESM2 6 1,2,3,4,5,6 processed_tos_Omon_CESM2_historical_r%si1p1f1_gr_195001-200512.nc processed_tos_Omon_CESM2_historical_r%si1p1f1_gr_197501-201412.nc
CESM2-WACCM 3 1,2,3 processed_tos_Omon_CESM2-WACCM_historical_r%si1p1f1_gr_195001-200512.nc processed_tos_Omon_CESM2-WACCM_historical_r%si1p1f1_gr_197501-201412.nc
